Stations_id;Bezugszeitraum;Datenquelle;Jan.;Feb.;März;Apr.;Mai;Jun.;Jul.;Aug.;Sept.;Okt.;Nov.;Dez.;Jahr;
         1;1981-2010;        46;      48.4;      45.6;      49.7;      51.5;      88.7;        93;      95.7;      85.1;      62.5;      61.3;      55.5;      60.1;     797.1;
         2;1981-2010;        45;      74.3;        66;      64.4;      58.2;      70.9;      79.8;      71.4;      69.5;      69.7;      68.4;      64.6;      78.4;     838.6;
         3;1981-2010;        45;      68.1;      63.6;        67;      55.7;        72;      80.3;      75.2;      74.8;      69.2;        70;      66.1;      75.5;     837.4;
         4;1981-2010;        46;      68.9;      66.1;      67.4;      55.9;      71.5;      81.2;      75.2;      73.2;      68.8;      69.3;      65.2;      76.5;     839.2;
         6;1981-2010;        45;      66.2;      65.3;      75.2;      55.8;        93;        83;      95.8;      79.2;      69.8;      67.3;      67.7;      80.2;     898.4;
         7;1981-2010;        46;      79.3;      70.9;      84.8;      66.5;     102.9;      97.4;     107.9;      85.6;      77.4;      82.4;        80;      92.5;    1027.6;
         8;1981-2010;        46;      50.3;      48.6;      51.8;      43.8;      67.6;      64.5;      66.4;      57.1;        55;      56.9;      52.6;      57.8;     672.5;
         9;1981-2010;        46;      54.8;      51.8;      56.8;      47.2;        65;        66;      67.8;      57.5;      57.7;      56.3;      54.9;      61.8;     697.5;
        12;1981-2010;        43;        60;        46;        56;        42;        55;        67;        68;        73;        57;        53;        56;        64;       697;
        13;1981-2010;        46;      47.2;      41.2;      49.7;      43.3;      59.7;      58.4;      61.5;      54.5;      52.8;      37.5;      50.3;      55.5;     611.7;
        14;1981-2010;        46;      65.5;        51;        59;      42.3;        54;      76.3;      87.7;      75.4;      88.6;      83.7;      78.6;      72.9;       835;
        15;1981-2010;        45;      48.4;      43.9;        55;      43.3;      72.7;      74.4;      80.1;      63.8;      54.5;      54.9;      53.6;      58.2;     702.8;
        16;1981-2010;        46;      54.5;      50.6;      57.9;      45.7;      73.8;      75.7;      78.1;      61.8;      53.7;      57.2;      57.3;        65;     731.4;
        17;1981-2010;        45;      52.6;      45.7;      52.7;      44.6;      68.3;      84.6;      90.1;      75.8;      64.9;      58.9;      57.2;      60.2;     755.3;
        18;1981-2010;        46;     129.7;     103.6;     103.7;      70.9;      86.3;      81.2;      86.6;      83.5;      88.6;     113.9;     109.8;     137.1;    1194.8;
        19;1981-2010;        45;      66.2;      60.8;      70.1;      55.6;      88.9;      85.1;      88.6;        79;      65.6;      73.2;      67.6;      81.5;     878.9;
        20;1981-2010;        45;      77.2;      66.6;        76;      55.1;      91.3;      86.5;        90;        78;      66.1;      76.2;      70.2;      85.1;     918.4;
        21;1981-2010;        45;      76.8;      79.2;      94.5;       101;       136;     161.4;     157.8;     154.2;     135.3;      96.8;     108.3;     104.8;    1414.3;
        22;1981-2010;        45;      66.7;      62.5;      79.5;      70.8;     102.7;      96.8;     101.6;        81;      85.9;      91.6;      81.8;      88.6;    1009.6;
        23;1981-2010;        45;      71.7;        50;      61.9;      45.4;      64.4;      73.2;      79.5;      72.1;      65.5;      64.1;      65.4;      70.9;       784;
        24;1981-2010;        46;     113.1;       110;     147.1;     104.2;     142.6;     179.1;     183.9;     186.3;     138.3;     102.2;     119.6;       129;    1655.3;
        25;1981-2010;        46;      76.2;      65.6;      87.2;        73;     114.7;       107;     111.5;        91;      81.8;      87.1;      82.1;      94.9;      1072;
        26;1981-2010;        45;        62;      47.1;      54.5;      45.4;      50.1;      63.1;      67.5;      63.2;      57.2;      58.2;      56.3;      67.8;     692.4;
        27;1981-2010;        46;        93;        95;     134.6;       105;       140;     186.6;     193.5;     192.9;     138.7;      99.9;     117.4;     120.4;    1617.1;
        28;1981-2010;        46;      72.6;      68.3;      78.4;      57.8;      93.3;      91.1;      91.6;      83.3;      66.4;      78.1;      72.5;      88.2;     941.6;
        29;1981-2010;        46;        51;      46.4;      52.6;      43.2;      61.2;      63.1;      77.1;      57.5;      58.9;      55.1;      55.3;      61.1;     682.3;
        30;1981-2010;        45;      83.3;      66.9;        78;      55.6;        71;      71.4;      74.9;      59.3;      62.8;      83.4;        69;      93.2;     869.2;
        31;1981-2010;        46;      60.8;      45.8;      55.1;      41.9;      62.6;      64.2;      71.7;      66.1;      54.7;      52.1;      56.8;      57.8;     689.6;
        32;1981-2010;        46;      77.7;      54.2;      69.5;      53.1;      70.5;      67.7;      71.9;      71.5;      63.2;      62.6;      67.1;      79.5;     808.5;
        33;1981-2010;        46;      39.1;      32.5;      44.8;      38.9;      51.5;      61.6;        56;      56.1;        46;        37;      43.1;      48.3;     554.8;
        34;1981-2010;        46;      60.5;      56.4;      71.2;      55.6;      84.4;      76.4;      80.9;      67.8;        60;      74.3;      63.4;      71.4;     822.4;
        35;1981-2010;        46;      53.6;      48.6;      55.8;      45.7;      65.4;      76.5;      82.8;      83.6;      63.1;        50;      59.3;      62.1;     746.5;
        36;1981-2010;        46;     109.7;      80.2;      95.2;      60.9;      77.3;      83.4;      97.5;     102.1;      84.9;      85.2;      95.8;     111.1;    1083.3;
        37;1981-2010;        43;        46;        42;        54;        54;        90;        92;       106;        96;        68;        56;        54;        59;       817;
        38;1981-2010;        45;      85.3;        63;      74.3;      55.3;      67.8;      77.7;      78.3;      73.4;      81.5;      77.5;      78.3;      90.2;       902;
        39;1981-2010;        43;        72;        54;        64;        44;        58;        70;        80;        73;        67;        67;        66;        73;       788;
        40;1981-2010;        46;      45.4;      37.2;      44.5;      35.3;      49.6;      62.9;      67.7;      62.5;      50.7;      40.1;      50.8;      50.6;     597.2;
        41;1981-2010;        45;      65.8;      49.6;      57.8;      40.6;      53.5;      62.7;      71.7;      70.8;      57.8;      59.8;        60;        66;     717.5;
        42;1981-2010;        43;        68;        52;        64;        44;        63;        65;        71;        69;        74;        64;        66;        70;       770;
        43;1981-2010;        46;      71.5;      55.2;      66.9;      43.3;      55.4;      80.6;      85.2;      83.7;        88;      81.8;      86.8;      75.3;     873.7;
        44;1981-2010;        45;      70.5;      52.3;        65;      45.3;      61.6;      72.2;      82.5;      73.9;        70;      68.4;      69.7;      74.1;     805.6;
