Stations_id;Bezugszeitraum;Datenquelle;Jan.;Feb.;März;Apr.;Mai;Jun.;Jul.;Aug.;Sept.;Okt.;Nov.;Dez.;Jahr;
         1;1981-2010;        46;       -.4;        .7;       4.7;       8.7;      13.3;      16.5;      18.5;      17.9;      13.8;       9.2;       3.7;        .7;         9;
         3;1981-2010;        51;         3;       3.2;       6.4;       9.5;      13.6;      16.2;      18.4;        18;      14.6;        11;       6.6;       3.7;      10.4;
        44;1981-2010;        51;       1.7;       1.9;       4.9;       8.7;      12.9;      15.3;      17.6;      17.2;      13.6;       9.6;       5.4;       2.3;       9.3;
        52;1981-2010;        46;       1.2;       1.5;       4.2;       8.1;      12.5;      15.1;      17.6;      17.1;      13.4;       9.3;         5;       1.9;       8.9;
        61;1981-2010;        46;      -1.4;       -.3;       4.3;       8.8;      13.9;      16.5;      18.5;        18;      13.6;       8.7;       3.4;       -.2;       8.6;
        70;1981-2010;        46;      -1.1;       -.4;         3;       6.8;      11.4;      14.5;      16.7;      16.1;      12.2;       8.1;       2.8;         0;       7.5;
        71;1981-2010;        42;      -1.1;       -.5;       2.9;       6.6;      11.1;      14.3;      16.3;      15.7;        12;         8;       2.8;         0;       7.4;
        72;1981-2010;        46;      -1.2;       -.7;       2.7;       6.2;      10.9;        14;      16.1;      15.6;      11.8;       7.8;       2.6;       -.2;       7.1;
        73;1981-2010;        51;      -1.6;       -.3;       4.2;       8.9;        14;      16.7;      18.5;      17.8;      13.6;       8.8;       3.5;       -.2;       8.7;
        78;1981-2010;        51;       1.8;         2;       4.9;       8.6;      12.9;      15.4;      17.6;      17.1;      13.6;       9.6;       5.4;       2.3;       9.3;
        91;1981-2010;        51;        .2;        .6;       4.1;       7.8;      12.4;      15.2;      17.4;      16.8;      12.9;       8.8;       4.2;       1.1;       8.5;
        93;1981-2010;        46;        .3;        .7;       4.5;       8.2;      12.7;      15.4;      17.6;      17.1;      13.2;       8.9;       4.4;       1.1;       8.7;
        96;1981-2010;        42;        .4;         1;         4;       8.7;      13.7;      16.2;      18.7;      18.1;        14;       9.4;       4.6;       1.2;       9.2;
        98;1981-2010;        46;      -1.1;       -.9;       2.1;       5.8;      10.3;      12.9;      15.1;      14.7;      11.2;         7;       2.6;       -.3;       6.6;
       116;1981-2010;        46;        .3;        .9;       4.6;       8.7;      13.5;      16.3;      18.6;      18.2;      14.1;       9.5;       4.7;       1.2;       9.2;
       125;1981-2010;        42;      -1.1;       -.5;       3.2;         7;      11.9;      14.8;        17;      16.5;      12.5;       8.5;       2.9;         0;       7.7;
       129;1981-2010;        46;        .3;        .7;       3.6;       7.9;      12.6;      15.5;        18;      17.6;      13.6;       9.1;       4.3;       1.1;       8.7;
       131;1981-2010;        42;       -.2;        .5;         4;       8.2;      13.1;      15.8;      18.1;      17.7;      13.6;       9.1;       4.1;        .7;       8.7;
       132;1981-2010;        46;      -2.6;      -1.9;       1.8;       6.4;      11.3;        14;      16.1;      15.7;      11.7;         7;       1.6;      -1.7;       6.6;
       142;1981-2010;        51;      -1.1;       -.2;       3.9;       8.1;        13;      15.9;      17.8;      17.3;      13.1;       8.6;       3.2;        .1;       8.3;
       150;1981-2010;        51;       1.2;       2.1;       6.1;       9.8;      14.4;        17;      19.3;      18.9;      14.6;       9.9;       5.2;       2.2;      10.1;
       151;1981-2010;        51;      -1.1;       -.3;         4;       8.3;      13.4;      16.5;      18.5;      17.8;      13.1;       8.3;       3.2;         0;       8.5;
       154;1981-2010;        42;      -1.3;       -.2;       3.9;       8.1;      13.1;      15.9;      17.8;      17.2;      13.2;       8.7;       3.2;       -.3;       8.3;
       161;1981-2010;        42;       2.3;       2.9;       6.6;      10.2;      14.6;      17.4;      19.5;      18.9;      14.9;      10.6;       6.1;       3.1;      10.6;
       164;1981-2010;        51;         0;        .7;       3.9;       8.5;      13.4;      16.1;      18.5;      17.9;      13.9;       9.2;       4.1;        .8;       8.9;
